Removed Pin From Net: NetName=adc nhiet do Pin=Arduino_MEGA1-10
Removed Pin From Net: NetName=GND Pin=C1-2
Removed Pin From Net: NetName=GND Pin=C2-2
Removed Pin From Net: NetName=Vin Pin=C3-1
Removed Pin From Net: NetName=NetC5_1 Pin=C7-1
Removed Pin From Net: NetName=GND Pin=C7-2
Removed Pin From Net: NetName=+5 Pin=C8-1
Removed Pin From Net: NetName=GND Pin=C8-2
Removed Pin From Net: NetName=GND Pin=D4-1
Removed Pin From Net: NetName=on off motor Pin=D4-2
Removed Pin From Net: NetName=GND Pin=D5-1
Removed Pin From Net: NetName=control 5v or 12v Pin=D5-2
Removed Pin From Net: NetName=+12 Pin=H1-1
Removed Pin From Net: NetName=on off gas sensor Pin=H4-2
Removed Pin From Net: NetName=control 5v or 12v Pin=H7-1
Removed Pin From Net: NetName=+5 Pin=H7-2
Removed Pin From Net: NetName=GND Pin=RL1-4
Removed Pin From Net: NetName=on off motor Pin=RL1-5
Removed Pin From Net: NetName=GND Pin=RL2-4
Removed Pin From Net: NetName=control 5v or 12v Pin=RL2-5
Removed Pin From Net: NetName=GND Pin=U1-2
Removed Pin From Net: NetName=Vin Pin=U1-3
Removed Pin From Net: NetName=NetC5_1 Pin=U2-1
Removed Pin From Net: NetName=GND Pin=U2-2
Removed Pin From Net: NetName=+5 Pin=U2-3
Removed Pin From Net: NetName=+5 Pin=U3-16
Change Component Footprint: Designator=U1 Old Footprint=TO252 New Footprint=SOP4
Change Component Footprint: Designator=U2 Old Footprint=TO252 New Footprint=SOP4
Change Footprint: Footprint Not Found CAPRR1500W80L1750T780H1100
Change Footprint: Footprint Not Found CAPRR1500W80L1750T780H1100
Change Footprint: Footprint Not Found CAPRR1500W80L1750T780H1100
Change Component Footprint: Designator=C3 Old Footprint=tu gom New Footprint=tu hoa 5mm
Change Footprint: Footprint Not Found CAPRR1500W80L1750T780H1100
Change Component Footprint: Designator=H7 Old Footprint=XH2.54M-2 New Footprint=XH2.54M-4
Change Component Footprint: Designator=H4 Old Footprint=XH2.54M-3 New Footprint=XH2.54M-4
Change Component Comment : Designator=C7 Old Comment=1uF 50V New Comment=104
Change Component Comment : Designator=C6 Old Comment=47uF 25V New Comment=100uF
Change Component Comment : Designator=C4 Old Comment=47uF New Comment=100uF
Change Component Comment : Designator=U2 Old Comment=78M05 SMD TO252 New Comment=OPTO PC817 SMD
Change Component Comment : Designator=U1 Old Comment=78M9 New Comment=OPTO PC817 SMD
Change Component Comment : Designator=C8 Old Comment=100nF 25V New Comment=104
Change Component Comment : Designator=C5 Old Comment=100uF 50v New Comment=100uF
Change Component Comment : Designator=C1 Old Comment=220uF New Comment=104
Change Component Comment : Designator=C3 Old Comment=330pF New Comment=100uF
Change Component Comment : Designator=C2 Old Comment=330pF New Comment=104
Change Component Comment : Designator=Arduino_MEGA1 Old Comment=Arduino_MEGA? New Comment=Arduino_MEGA1
Change Component Comment : Designator=H7 Old Comment=Button turn on motor 12V New Comment=MQ6 gas adc signal
Change Component Comment : Designator=H4 Old Comment=MQ6 Gas sensor New Comment=gnd gas sensor
Change component parameters: Designator = "C1" ("C1"); Footprint = "Tu hoa 5mm"; UniqueID = "\NVOCKZXU" ("\NVOCKZXU")
Change component parameters (AddParameter): Name = "Availability"; Value = "Unavailable"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "MF"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "MP"; Value = "ECWFD2W105JC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package"; Value = "None"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Price"; Value = "None"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = ""; VariantName = "[No Variations]"
Change component parameters: Designator = "C2" ("C2"); Footprint = "tu gom"; UniqueID = "\VOYHWAHI" ("\VOYHWAHI")
Change component parameters (AddParameter): Name = "Availability"; Value = "Unavailable"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "MF"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "MP"; Value = "ECWFD2W105JC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package"; Value = "None"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Price"; Value = "None"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = ""; VariantName = "[No Variations]"
Change component parameters: Designator = "C3" ("C3"); Footprint = "tu gom"; UniqueID = "\JQGQDORX" ("\JQGQDORX")
Change component parameters (AddParameter): Name = "Chung_Loai"; Value = "C?m"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Don_Vi"; Value = "Con"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Kieu_Chan"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Ma_Hang"; Value = "MH001351"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "So_Chan"; Value = "2"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Ten_Linh_Kien"; Value = "T? Hóa 100uF 25V 6x11MM"; VariantName = "[No Variations]"
Change component parameters: Designator = "C4" ("C4"); Footprint = "tu hoa 5mm"; UniqueID = "\EPXYOPHJ" ("\EPXYOPHJ")
Change component parameters (AddParameter): Name = "Chung_Loai"; Value = "C?m"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Don_Vi"; Value = "Con"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Kieu_Chan"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Ma_Hang"; Value = "MH001351"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "So_Chan"; Value = "2"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Ten_Linh_Kien"; Value = "T? Hóa 100uF 25V 6x11MM"; VariantName = "[No Variations]"
Change component parameters: Designator = "C6" ("C6"); Footprint = "tu hoa 5mm"; UniqueID = "\EGMZVNFW" ("\EGMZVNFW")
Change component parameters (AddParameter): Name = "Chung_Loai"; Value = "C?m"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Don_Vi"; Value = "Con"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Kieu_Chan"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Ma_Hang"; Value = "MH001351"; VariantName = "[No Variations]"
